Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5271966527196653,0.6638888888888889,0.11755306377485762,0.44513888888888886,0.21875,0.5522620904836193,0.47619047619047616,0.45395590142671854,0.22272727272727272,0.5384615384615384,0.4513888888888889,0.04083345718994484,0.3125,0.1388888888888889,0.5111111111111111,0.6,0.30666666666666664,0.17391304347826086,0.45454545454545453,0.3819444444444444,-0.0004927701046524798,0.25,0.13194444444444445,0.5277777777777778,0.3157894736842105,0.2375,0.09523809523809523
1,0.670150987224158,0.5979166666666667,3.18455906397213,0.35138888888888886,0.2465277777777778,0.7075098814229249,0.6169014084507042,0.46303501945525294,0.3287878787878788,0.48936170212765956,0.6527777777777778,-0.061466674041619214,0.4791666666666667,0.1736111111111111,0.4782608695652174,0.52,0.44,0.18840579710144928,0.5063291139240507,0.5486111111111112,0.03898466760125846,0.4166666666666667,0.13194444444444445,0.5166666666666667,0.47368421052631576,0.3875,0.14285714285714285
2,0.7042682926829268,0.6833333333333333,4.473201229033375,0.4166666666666667,0.26666666666666666,0.725,0.671875,0.5603112840466926,0.38333333333333336,0.4631578947368421,0.6597222222222222,-0.17380703200820974,0.4305555555555556,0.22916666666666666,0.46774193548387094,0.45454545454545453,0.38666666666666666,0.21739130434782608,0.4044943820224719,0.6180555555555556,-0.030225460206013015,0.4027777777777778,0.2152777777777778,0.46551724137931033,0.2903225806451613,0.3375,0.14285714285714285
3,0.7234242709313264,0.7381944444444445,5.342655556301777,0.4111111111111111,0.32708333333333334,0.7466216216216216,0.6942675159235668,0.569390402075227,0.49242424242424243,0.4791666666666667,0.6666666666666666,-0.09360526964691537,0.4861111111111111,0.18055555555555555,0.4714285714285714,0.5,0.44,0.18840579710144928,0.3979591836734694,0.6805555555555556,-0.14478731427512698,0.4861111111111111,0.19444444444444445,0.45714285714285713,0.25,0.4,0.1111111111111111
4,0.7312217194570135,0.7673611111111112,5.641672782879202,0.4305555555555556,0.3368055555555556,0.7612903225806451,0.6927835051546392,0.6057068741893644,0.5045454545454545,0.5092592592592593,0.75,-0.08210232679041818,0.4930555555555556,0.2569444444444444,0.5352112676056338,0.4594594594594595,0.5066666666666667,0.2463768115942029,0.4166666666666667,0.75,-0.09334549793527877,0.3819444444444444,0.3680555555555556,0.509090909090909,0.32075471698113206,0.35,0.2698412698412698
