Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.519650655021834,0.6361111111111111,0.9094486137763961,0.25555555555555554,0.38055555555555554,0.5597826086956522,0.4927007299270073,0.26666666666666666,0.4,0.5098039215686274,0.7083333333333334,0.0876246596934589,0.3680555555555556,0.3402777777777778,0.4339622641509434,0.5918367346938775,0.3333333333333333,0.38666666666666666,0.5181818181818182,0.7638888888888888,0.12446104178261301,0.4166666666666667,0.3472222222222222,0.48333333333333334,0.56,0.4393939393939394,0.358974358974359
1,0.6802646085997794,0.6298611111111111,4.211024919055708,0.28888888888888886,0.34097222222222223,0.7067307692307693,0.6578411405295316,0.38300653594771245,0.48270676691729325,0.4818181818181818,0.7638888888888888,0.09747265470654629,0.3472222222222222,0.4166666666666667,0.44,0.5166666666666667,0.3188405797101449,0.41333333333333333,0.4260869565217391,0.7986111111111112,0.07898089343505159,0.4166666666666667,0.3819444444444444,0.4166666666666667,0.43636363636363634,0.3787878787878788,0.3076923076923077
2,0.7167798254122212,0.7159722222222222,4.988997142801773,0.3798611111111111,0.33611111111111114,0.7330895795246801,0.6983471074380165,0.5228758169934641,0.5037593984962406,0.5365853658536586,0.8541666666666666,0.25167009818056313,0.3194444444444444,0.5347222222222222,0.5217391304347826,0.5454545454545454,0.34782608695652173,0.56,0.4957983193277311,0.8263888888888888,0.11326898164175524,0.4097222222222222,0.4166666666666667,0.4915254237288136,0.5,0.4393939393939394,0.38461538461538464
3,0.7453906935908692,0.7909722222222222,6.274091886321191,0.4048611111111111,0.3861111111111111,0.7615780445969125,0.7284172661870504,0.5751633986928104,0.6015037593984962,0.48412698412698413,0.875,0.0014956905503911572,0.4930555555555556,0.3819444444444444,0.4647887323943662,0.509090909090909,0.4782608695652174,0.37333333333333335,0.4796747967479675,0.8541666666666666,0.1869825756476853,0.4861111111111111,0.3680555555555556,0.4714285714285714,0.49056603773584906,0.5,0.3333333333333333
4,0.7856525496974935,0.8034722222222223,7.0298206303429085,0.42430555555555555,0.37916666666666665,0.7872340425531915,0.7838827838827839,0.6222222222222222,0.6390977443609023,0.46153846153846156,0.9027777777777778,-0.02340081705500209,0.4027777777777778,0.5,0.43103448275862066,0.4861111111111111,0.36231884057971014,0.4666666666666667,0.4732824427480916,0.9097222222222222,0.1724810423563757,0.4236111111111111,0.4861111111111111,0.4262295081967213,0.5142857142857142,0.3939393939393939,0.46153846153846156
