Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5044359949302915,0.5479166666666667,0.10573096867125031,0.2763888888888889,0.27152777777777776,0.535175879396985,0.4731457800511509,0.2741514360313316,0.27611940298507465,0.5727272727272728,0.7638888888888888,0.09527744847231512,0.4166666666666667,0.3472222222222222,0.6,0.54,0.45569620253164556,0.4153846153846154,0.3949579831932773,0.8263888888888888,-0.3150385477707837,0.4722222222222222,0.3541666666666667,0.4852941176470588,0.27450980392156865,0.39759036144578314,0.22950819672131148
1,0.6147727272727272,0.6111111111111112,2.561378948197893,0.3277777777777778,0.2833333333333333,0.6313559322033898,0.5955882352941176,0.38642297650130547,0.3611940298507463,0.5555555555555556,0.8125,0.1044519615017949,0.2013888888888889,0.6111111111111112,0.6896551724137931,0.5113636363636364,0.25316455696202533,0.6923076923076923,0.4672131147540984,0.8472222222222222,-0.1868180192490559,0.3125,0.5347222222222222,0.5777777777777777,0.4025974025974026,0.3132530120481928,0.5081967213114754
2,0.6337741607324516,0.6826388888888889,4.860455835751604,0.34305555555555556,0.33958333333333335,0.6639676113360324,0.6032719836400818,0.42689295039164493,0.4388059701492537,0.5,0.8055555555555556,0.0010928219924035854,0.2638888888888889,0.5416666666666666,0.5526315789473685,0.47435897435897434,0.26582278481012656,0.5692307692307692,0.41346153846153844,0.7222222222222222,-0.19172938122985136,0.22916666666666666,0.4930555555555556,0.5151515151515151,0.36619718309859156,0.20481927710843373,0.4262295081967213
3,0.6766990291262136,0.7152777777777778,6.2089052272202725,0.3590277777777778,0.35625,0.7156673114119922,0.6374269005847953,0.4830287206266319,0.4835820895522388,0.48717948717948717,0.8125,0.02555186339908635,0.08333333333333333,0.7291666666666666,0.6666666666666666,0.4666666666666667,0.10126582278481013,0.7538461538461538,0.3813559322033898,0.8194444444444444,-0.2886658230172406,0.09027777777777778,0.7291666666666666,0.46153846153846156,0.37142857142857144,0.07228915662650602,0.639344262295082
4,0.702728127939793,0.7381944444444445,7.021919468172382,0.37430555555555556,0.3638888888888889,0.7346938775510204,0.6698473282442748,0.5143603133159269,0.5223880597014925,0.5169491525423728,0.8194444444444444,0.017376509614907068,0.5208333333333334,0.2986111111111111,0.5333333333333333,0.4883720930232558,0.5063291139240507,0.3230769230769231,0.49586776859504134,0.8402777777777778,-0.1342536669797243,0.5833333333333334,0.2569444444444444,0.5714285714285714,0.32432432432432434,0.5783132530120482,0.19672131147540983
5,0.7402714932126697,0.7673611111111112,7.864358890267772,0.40555555555555556,0.36180555555555555,0.7671232876712328,0.710172744721689,0.5809399477806788,0.5507462686567164,0.5092592592592593,0.75,0.021673953260502286,0.4375,0.3125,0.5555555555555556,0.4444444444444444,0.4430379746835443,0.3076923076923077,0.5221238938053098,0.7847222222222222,-0.0452423193636159,0.4930555555555556,0.2916666666666667,0.6197183098591549,0.35714285714285715,0.5301204819277109,0.2459016393442623
6,0.7727674624226348,0.7854166666666667,8.917385217949002,0.41805555555555557,0.36736111111111114,0.7890365448504983,0.7542533081285444,0.6174934725848564,0.5925373134328358,0.452991452991453,0.8125,-0.034180712006327836,0.3402777777777778,0.4722222222222222,0.4897959183673469,0.4264705882352941,0.3037974683544304,0.4461538461538462,0.52,0.8680555555555556,0.042114595880801714,0.375,0.4930555555555556,0.6296296296296297,0.43661971830985913,0.40963855421686746,0.5081967213114754
7,0.7779632721202003,0.8319444444444445,9.490108759141089,0.4236111111111111,0.4083333333333333,0.8049180327868852,0.75,0.6409921671018277,0.6522388059701493,0.44144144144144143,0.7708333333333334,0.03085021510518753,0.3888888888888889,0.3819444444444444,0.48214285714285715,0.4,0.34177215189873417,0.3384615384615385,0.5081967213114754,0.8472222222222222,-0.003701302592277499,0.4583333333333333,0.3888888888888889,0.5909090909090909,0.4107142857142857,0.46987951807228917,0.3770491803278688
8,0.7983539094650206,0.84375,10.22812145157806,0.4513888888888889,0.3923611111111111,0.8184615384615385,0.7752212389380531,0.6945169712793734,0.6492537313432836,0.37777777777777777,0.9375,-0.18401158196142778,0.3402777777777778,0.5972222222222222,0.40816326530612246,0.36046511627906974,0.25316455696202533,0.47692307692307695,0.5109489051094891,0.9513888888888888,-0.010460652631174525,0.4375,0.5138888888888888,0.6031746031746031,0.43243243243243246,0.4578313253012048,0.5245901639344263
9,0.8066884176182708,0.8513888888888889,10.527190423400137,0.4388888888888889,0.4125,0.8243670886075949,0.7878787878787878,0.6801566579634465,0.6925373134328359,0.40310077519379844,0.8958333333333334,-0.09184027465217132,0.3611111111111111,0.5347222222222222,0.4230769230769231,0.38961038961038963,0.27848101265822783,0.46153846153846156,0.5,0.8333333333333334,-0.02774852374303827,0.4305555555555556,0.4027777777777778,0.5806451612903226,0.41379310344827586,0.43373493975903615,0.39344262295081966
