Date,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67
2015-02-20,10999.0,10989.0,10988.5,10987.5,10988.0,11001.5,10993.0,11001.0,11001.5,11000.5,11003.5,10969.5,10944.0,11003.0,11021.0,11039.0,11017.0,11010.5,10992.5,11032.0,11039.5,11016.5,11032.5,11033.5,11019.5,11025.5,11021.5,11026.5,11024.0,11041.5,11032.5,11049.5,11042.0,11018.5,11058.0,11090.0,11119.0,11168.5,11170.0,11166.5,10548.5,10666.0,10882.0,10693.5,10634.0,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,9971.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5
2015-02-23,11039.0,11017.0,11010.5,10992.5,11032.0,11039.5,11016.5,11032.5,11033.5,11019.5,11025.5,11021.5,11026.5,11024.0,11041.5,11032.5,11049.5,11042.0,11018.5,11058.0,11090.0,11119.0,11168.5,11170.0,11166.5,11166.0,11185.0,11184.5,11123.0,11146.5,11132.0,11141.0,11147.0,11169.0,11143.5,11168.0,11157.0,11166.5,11156.5,11164.5,10666.0,10882.0,10693.5,10634.0,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,9971.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5
2015-02-24,11032.5,11049.5,11042.0,11018.5,11058.0,11090.0,11119.0,11168.5,11170.0,11166.5,11166.0,11185.0,11184.5,11123.0,11146.5,11132.0,11141.0,11147.0,11169.0,11143.5,11168.0,11157.0,11166.5,11156.5,11164.5,11166.5,11173.5,11155.5,11148.5,11170.5,11173.5,11173.5,11171.0,11179.5,11241.5,11247.0,11248.0,11265.0,11270.0,11260.5,10882.0,10693.5,10634.0,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,9971.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5
2015-02-25,11132.0,11141.0,11147.0,11169.0,11143.5,11168.0,11157.0,11166.5,11156.5,11164.5,11166.5,11173.5,11155.5,11148.5,11170.5,11173.5,11173.5,11171.0,11179.5,11241.5,11247.0,11248.0,11265.0,11270.0,11260.5,11262.0,11256.5,11240.0,11239.5,11252.0,11244.0,11244.5,11240.5,11227.0,11238.5,11250.0,11250.0,11259.5,11248.5,11247.0,10693.5,10634.0,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5
2015-02-26,11173.5,11173.5,11171.0,11179.5,11241.5,11247.0,11248.0,11265.0,11270.0,11260.5,11262.0,11256.5,11240.0,11239.5,11252.0,11244.0,11244.5,11240.5,11227.0,11238.5,11250.0,11250.0,11259.5,11248.5,11247.0,11246.5,11251.5,11259.5,11276.0,11270.0,11291.5,11292.0,11293.0,11330.0,11353.0,11376.5,11370.0,11368.5,11363.0,11371.0,10634.0,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5
2015-02-27,11244.0,11244.5,11240.5,11227.0,11238.5,11250.0,11250.0,11259.5,11248.5,11247.0,11246.5,11251.5,11259.5,11276.0,11270.0,11291.5,11292.0,11293.0,11330.0,11353.0,11376.5,11370.0,11368.5,11363.0,11371.0,11363.5,11382.5,11379.0,11368.5,11363.0,11384.0,11385.5,11381.5,11371.5,11400.0,11436.0,11440.0,11434.5,11429.0,11426.5,10855.0,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,11246.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5
2015-03-02,11291.5,11292.0,11293.0,11330.0,11353.0,11376.5,11370.0,11368.5,11363.0,11371.0,11363.5,11382.5,11379.0,11368.5,11363.0,11384.0,11385.5,11381.5,11371.5,11400.0,11436.0,11440.0,11434.5,11429.0,11426.5,11424.5,11454.5,11491.5,11485.0,11483.5,11455.0,11418.5,11425.5,11421.5,11436.5,11453.5,11449.0,11453.5,11451.5,11475.5,10696.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,11246.5,11363.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5
2015-03-03,11384.0,11385.5,11381.5,11371.5,11400.0,11436.0,11440.0,11434.5,11429.0,11426.5,11424.5,11454.5,11491.5,11485.0,11483.5,11455.0,11418.5,11425.5,11421.5,11436.5,11453.5,11449.0,11453.5,11451.5,11475.5,11474.5,11465.0,11498.5,11476.5,11484.0,11459.0,11453.0,11451.5,11404.0,11399.5,11320.5,11331.0,11340.0,11348.5,11363.5,10913.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,11246.5,11363.5,11424.5,9973.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5
2015-03-04,11455.0,11418.5,11425.5,11421.5,11436.5,11453.5,11449.0,11453.5,11451.5,11475.5,11474.5,11465.0,11498.5,11476.5,11484.0,11459.0,11453.0,11451.5,11404.0,11399.5,11320.5,11331.0,11340.0,11348.5,11363.5,11360.5,11370.5,11305.5,11276.0,11285.0,11306.0,11343.0,11350.0,11300.5,11388.5,11435.0,11460.0,11445.0,11454.0,11452.5,10976.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,11246.5,11363.5,11424.5,11474.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5,11166.5
2015-03-05,11459.0,11453.0,11451.5,11404.0,11399.5,11320.5,11331.0,11340.0,11348.5,11363.5,11360.5,11370.5,11305.5,11276.0,11285.0,11306.0,11343.0,11350.0,11300.5,11388.5,11435.0,11460.0,11445.0,11454.0,11452.5,11450.5,11468.5,11496.0,11461.5,11479.0,11518.0,11523.0,11552.5,11530.5,11568.0,11555.0,11535.0,11551.5,11557.5,11552.5,10884.5,10944.5,10828.5,10700.5,10836.0,10813.5,11022.0,11020.5,10894.5,10954.0,11003.5,11025.5,11166.0,11166.5,11262.0,11246.5,11363.5,11424.5,11474.5,11360.5,9520.0,9809.5,10295.0,10882.0,10913.5,10700.5,10894.5,11166.5
