Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5612813370473537,0.4986111111111111,0.9459509001416868,0.3159722222222222,0.18263888888888888,0.5956043956043956,0.5019011406844106,0.3452229299363057,0.20276497695852536,0.6,0.3125,0.13189308799490373,0.2013888888888889,0.1111111111111111,0.5172413793103449,0.75,0.21428571428571427,0.16216216216216217,0.45614035087719296,0.3958333333333333,-0.10494355777617301,0.2638888888888889,0.13194444444444445,0.39473684210526316,0.5789473684210527,0.22058823529411764,0.14864864864864866
1,0.6410923276983095,0.5340277777777778,2.4845425422610328,0.33819444444444446,0.19583333333333333,0.6611909650924025,0.6063829787234043,0.40764331210191085,0.2626728110599078,0.49230769230769234,0.4513888888888889,0.07883096712205465,0.2638888888888889,0.1875,0.3684210526315789,0.6666666666666666,0.2,0.24324324324324326,0.5647058823529412,0.5902777777777778,0.036240193005425206,0.375,0.2152777777777778,0.5370370370370371,0.6129032258064516,0.4264705882352941,0.25675675675675674
2,0.6674259681093394,0.6097222222222223,3.469251018678309,0.3625,0.24722222222222223,0.7049808429118773,0.6123595505617978,0.467515923566879,0.3348694316436252,0.46987951807228917,0.5763888888888888,-0.03627706866476336,0.24305555555555555,0.3333333333333333,0.4,0.5208333333333334,0.2,0.33783783783783783,0.4883720930232558,0.5972222222222222,-0.11101417881936995,0.3958333333333333,0.2013888888888889,0.47368421052631576,0.5172413793103449,0.39705882352941174,0.20270270270270271
3,0.7017726798748697,0.6659722222222222,4.9169294878507825,0.3527777777777778,0.31319444444444444,0.7559055118110236,0.6407982261640798,0.4878980891719745,0.44393241167434716,0.43478260869565216,0.6388888888888888,-0.07914774277889089,0.3263888888888889,0.3125,0.44680851063829785,0.4222222222222222,0.3,0.25675675675675674,0.4943820224719101,0.6180555555555556,-0.07038042216447321,0.3611111111111111,0.2569444444444444,0.4807692307692308,0.5135135135135135,0.36764705882352944,0.25675675675675674
4,0.7160852713178295,0.7166666666666667,5.212949876627422,0.3923611111111111,0.32430555555555557,0.7486725663716814,0.6766595289079229,0.5375796178343949,0.4838709677419355,0.43609022556390975,0.9236111111111112,-0.2507470143443637,0.4861111111111111,0.4375,0.42857142857142855,0.4444444444444444,0.42857142857142855,0.3783783783783784,0.49586776859504134,0.8402777777777778,-0.01342008495602614,0.4791666666666667,0.3611111111111111,0.463768115942029,0.5384615384615384,0.47058823529411764,0.3783783783783784
5,0.7326820603907638,0.7819444444444444,6.3132063400770395,0.4125,0.36944444444444446,0.7760942760942761,0.6842105263157895,0.5847133757961783,0.5576036866359447,0.4954128440366973,0.7569444444444444,-0.07505824409967257,0.3819444444444444,0.375,0.4727272727272727,0.5185185185185185,0.37142857142857144,0.3783783783783784,0.4722222222222222,0.75,-0.042764914323333736,0.375,0.375,0.46296296296296297,0.48148148148148145,0.36764705882352944,0.35135135135135137
6,0.7928571428571428,0.7777777777777778,7.143918065976109,0.3993055555555556,0.3784722222222222,0.8417391304347827,0.7412844036697248,0.6165605095541401,0.6190476190476191,0.4576271186440678,0.8194444444444444,-0.17571666180445827,0.3888888888888889,0.4305555555555556,0.44642857142857145,0.46774193548387094,0.35714285714285715,0.3918918918918919,0.4700854700854701,0.8125,-0.08541854219005948,0.4444444444444444,0.3680555555555556,0.484375,0.4528301886792453,0.45588235294117646,0.32432432432432434
7,0.7641589180050719,0.8215277777777777,7.417795590199751,0.45208333333333334,0.36944444444444446,0.7910906298003072,0.731203007518797,0.6547770700636942,0.5944700460829493,0.4435483870967742,0.8611111111111112,-0.15536760617284426,0.4166666666666667,0.4444444444444444,0.4166666666666667,0.46875,0.35714285714285715,0.40540540540540543,0.4462809917355372,0.8402777777777778,-0.1911175773418708,0.4652777777777778,0.375,0.4626865671641791,0.42592592592592593,0.45588235294117646,0.3108108108108108
8,0.7854183927091963,0.8381944444444445,8.060938303052012,0.4618055555555556,0.3763888888888889,0.8120300751879699,0.7527675276752768,0.6853503184713375,0.6236559139784946,0.48091603053435117,0.9097222222222222,-0.11176827329360854,0.4444444444444444,0.4652777777777778,0.46875,0.4925373134328358,0.42857142857142855,0.44594594594594594,0.46774193548387094,0.8611111111111112,-0.10733799029838328,0.4652777777777778,0.3958333333333333,0.47761194029850745,0.45614035087719296,0.47058823529411764,0.35135135135135137
9,0.8112449799196787,0.8645833333333334,8.442631241098663,0.4826388888888889,0.3819444444444444,0.8330935251798561,0.7836363636363637,0.7363057324840764,0.6589861751152074,0.4645669291338583,0.8819444444444444,-0.11080918911975741,0.4652777777777778,0.4166666666666667,0.44776119402985076,0.48333333333333334,0.42857142857142855,0.3918918918918919,0.5263157894736842,0.9236111111111112,0.01758936562456195,0.5069444444444444,0.4166666666666667,0.5068493150684932,0.55,0.5147058823529411,0.44594594594594594
10,0.808130081300813,0.8541666666666666,8.168819071098733,0.47152777777777777,0.38263888888888886,0.8365243004418262,0.7731397459165155,0.7222929936305732,0.6513056835637481,0.4852941176470588,0.9444444444444444,-0.0893726755972796,0.4375,0.5069444444444444,0.4603174603174603,0.5068493150684932,0.4142857142857143,0.5,0.5111111111111111,0.9375,-0.028233884537449745,0.4930555555555556,0.4444444444444444,0.49295774647887325,0.53125,0.4852941176470588,0.4594594594594595
