Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5080113100848256,0.7368055555555556,0.12780800701410827,0.4,0.3368055555555556,0.546875,0.4618556701030928,0.38549618320610685,0.34335443037974683,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
1,0.5437956204379562,0.7611111111111111,0.3032459565562503,0.5208333333333334,0.24027777777777778,0.5693333333333334,0.4884393063583815,0.5330788804071247,0.2563291139240506,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
2,0.5240793201133145,0.7354166666666667,0.27830328754045885,0.5395833333333333,0.19583333333333333,0.5534105534105535,0.4432624113475177,0.5318066157760815,0.19462025316455697,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
3,0.5457943925233645,0.7430555555555556,0.3834772925939872,0.5659722222222222,0.17708333333333334,0.5766871165644172,0.4470588235294118,0.5763358778625954,0.17405063291139242,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
4,0.5252707581227437,0.7694444444444445,0.42861023267097015,0.5534722222222223,0.21597222222222223,0.5495608531994981,0.4630225080385852,0.5432569974554707,0.22468354430379747,0.6521739130434783,0.1597222222222222,0.015255006895781973,0.1597222222222222,0.0,0.6521739130434783,0,0.19444444444444445,0.0,0.5333333333333333,0.3125,-0.017857978874677785,0.3125,0.0,0.5333333333333333,0,0.3380281690140845,0.0
5,0.5469061876247505,0.6958333333333333,0.2811693051199142,0.48194444444444445,0.21388888888888888,0.5878962536023055,0.45454545454545453,0.5038167938931297,0.21360759493670886,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
6,0.5405643738977073,0.7875,0.5260195223565513,0.5520833333333334,0.23541666666666666,0.5685534591194968,0.4749262536873156,0.5623409669211196,0.24525316455696203,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
7,0.5254691689008043,0.7770833333333333,0.12070399202702857,0.5777777777777777,0.19930555555555557,0.5588942307692307,0.42857142857142855,0.573791348600509,0.18670886075949367,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
8,0.5377019748653501,0.7736111111111111,0.5538197918665342,0.6104166666666667,0.16319444444444445,0.5676905574516496,0.425531914893617,0.6132315521628499,0.15348101265822786,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
9,0.5496809480401094,0.7618055555555555,0.5372159774394364,0.5819444444444445,0.1798611111111111,0.5715990453460621,0.47876447876447875,0.5916030534351145,0.189873417721519,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
10,0.5365402405180388,0.7506944444444444,0.22997776544484658,0.5763888888888888,0.17430555555555555,0.5626506024096386,0.450199203187251,0.5763358778625954,0.17246835443037975,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
11,0.5327942497753818,0.7729166666666667,0.4104490025793754,0.5875,0.18541666666666667,0.5673758865248227,0.4232209737827715,0.5928753180661578,0.17721518987341772,0.5069444444444444,1.0,0.04241679485235637,1.0,0.0,0.5069444444444444,0,1.0,0.0,0.5069444444444444,1.0,-0.06692510725036889,1.0,0.0,0.5069444444444444,0,1.0,0.0
12,0.5295723384895359,0.7631944444444444,0.1515749332048283,0.5597222222222222,0.20347222222222222,0.5570719602977667,0.4539249146757679,0.5559796437659033,0.1962025316455696,0.5,1.0,-0.04241679485235637,0.0,1.0,0,0.5,0.0,1.0,0.5069444444444444,1.0,0.06692510725036889,0.0,1.0,0,0.5069444444444444,0.0,1.0
