Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5154185022026432,0.6305555555555555,0.2084931028681514,0.34930555555555554,0.28125,0.536779324055666,0.4888888888888889,0.35514018691588783,0.2846497764530551,0.46153846153846156,0.9027777777777778,-0.05083604184210462,0.9027777777777778,0.0,0.46153846153846156,0,0.8923076923076924,0.0,0.5241935483870968,0.8611111111111112,-0.0018380659440441344,0.8611111111111112,0.0,0.5241935483870968,0,0.8227848101265823,0.0
1,0.52734375,0.7111111111111111,0.3535733291675184,0.47638888888888886,0.23472222222222222,0.543731778425656,0.4940828402366864,0.4886515353805073,0.23845007451564829,0.47101449275362317,0.9583333333333334,-0.0436673516476687,0.9583333333333334,0.0,0.47101449275362317,0,0.9692307692307692,0.0,0.5407407407407407,0.9375,0.04316638245475158,0.9375,0.0,0.5407407407407407,0,0.9240506329113924,0.0
2,0.5723443223443223,0.7583333333333333,1.3353205825168144,0.5076388888888889,0.25069444444444444,0.5841313269493844,0.5484764542936288,0.5580774365821095,0.28614008941877794,0.5555555555555556,1.0,0.07291497874869751,0.0625,0.9375,0.5555555555555556,0.5555555555555556,0.07692307692307693,0.948051948051948,0.4305555555555556,1.0,-0.055637868393928605,0.034722222222222224,0.9652777777777778,0.2,0.43884892086330934,0.012658227848101266,0.9384615384615385
3,0.5455390334572491,0.7472222222222222,0.4966525688414351,0.3993055555555556,0.34791666666666665,0.5826086956521739,0.5029940119760479,0.4379172229639519,0.36661698956780925,0.5555555555555556,0.25,-0.027940850602458912,0.0763888888888889,0.1736111111111111,0.36363636363636365,0.64,0.06153846153846154,0.18181818181818182,0.5789473684210527,0.13194444444444445,0.007585404835173704,0.06944444444444445,0.0625,0.7,0.4444444444444444,0.08860759493670886,0.06153846153846154
4,0.5326829268292683,0.7118055555555556,0.5751436094856364,0.44027777777777777,0.27152777777777776,0.5504731861198738,0.5038363171355499,0.4539385847797063,0.2846497764530551,0.5277777777777778,1.0,0.035060519018725714,0.020833333333333332,0.9791666666666666,0.0,0.5390070921985816,0.0,0.961038961038961,0.4513888888888889,1.0,-0.02945091345391917,0.0,1.0,0,0.4513888888888889,0.0,1.0
5,0.5295587010824313,0.8340277777777778,0.6457487780305646,0.4527777777777778,0.38125,0.553680981595092,0.5009107468123861,0.4739652870493992,0.39642324888226527,0.5178571428571429,0.7777777777777778,0.12671498645171994,0.4166666666666667,0.3611111111111111,0.4666666666666667,0.5769230769230769,0.4307692307692308,0.36363636363636365,0.5714285714285714,0.7777777777777778,0.3996449191529894,0.3958333333333333,0.3819444444444444,0.6491228070175439,0.4909090909090909,0.46835443037974683,0.4153846153846154
6,0.5316455696202531,0.7680555555555556,0.7470754781635225,0.46458333333333335,0.3034722222222222,0.5515695067264574,0.5011441647597255,0.4819759679572764,0.3114754098360656,0.5504587155963303,0.7569444444444444,0.17015939073190858,0.4166666666666667,0.3402777777777778,0.5166666666666667,0.5918367346938775,0.47692307692307695,0.35064935064935066,0.5871559633027523,0.7569444444444444,0.38163959922067564,0.4097222222222222,0.3472222222222222,0.6440677966101694,0.52,0.4810126582278481,0.4
7,0.5834879406307978,0.7486111111111111,1.3508343389607693,0.44513888888888886,0.3034722222222222,0.5912636505460218,0.5720823798627003,0.4939919893190921,0.36065573770491804,0.5492957746478874,0.4930555555555556,0.060658464794129466,0.3472222222222222,0.14583333333333334,0.48,0.7142857142857143,0.36923076923076925,0.19480519480519481,0.640625,0.4444444444444444,0.2766109182391909,0.3541666666666667,0.09027777777777778,0.6862745098039216,0.46153846153846156,0.4430379746835443,0.09230769230769231
8,0.5596244131455399,0.7395833333333334,1.3538976957176994,0.47638888888888886,0.26319444444444445,0.5699708454810496,0.5408970976253298,0.5126835781041389,0.2965722801788376,0.5390070921985816,0.9791666666666666,0.2150233078186877,0.3680555555555556,0.6111111111111112,0.49056603773584906,0.5681818181818182,0.4,0.6233766233766234,0.5902777777777778,1.0,0.4651014492112516,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5357142857142857,0.5063291139240507,0.6923076923076923
9,0.5683646112600537,0.7770833333333333,0.9703123271680143,0.43819444444444444,0.3388888888888889,0.5879556259904913,0.5430327868852459,0.48464619492656874,0.38152011922503726,0.5321100917431193,0.7569444444444444,0.028073861778390073,0.19444444444444445,0.5625,0.42857142857142855,0.5679012345679012,0.18461538461538463,0.5714285714285714,0.575,0.8333333333333334,0.42175969984876704,0.2708333333333333,0.5625,0.6923076923076923,0.5185185185185185,0.34177215189873417,0.6461538461538462
10,0.5644402634054563,0.7381944444444445,1.2452213399484264,0.41944444444444445,0.31875,0.5827814569536424,0.5403050108932462,0.46328437917222964,0.35469448584202684,0.4861111111111111,1.0,0.10149321633046855,0.7986111111111112,0.2013888888888889,0.46956521739130436,0.5517241379310345,0.8,0.2077922077922078,0.5208333333333334,1.0,0.1039987935259262,0.7777777777777778,0.2222222222222222,0.5446428571428571,0.4375,0.7721518987341772,0.2153846153846154
