Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.525035765379113,0.48541666666666666,0.13088877951234823,0.23194444444444445,0.2534722222222222,0.5479041916167665,0.5041095890410959,0.23076923076923078,0.2794348508634223,0.4875,0.5555555555555556,-0.06101128985628987,0.5555555555555556,0.0,0.4875,0,0.5277777777777778,0.0,0.504950495049505,0.7013888888888888,0.05970945065297363,0.7013888888888888,0.0,0.504950495049505,0,0.6623376623376623,0.0
1,0.5064629847238543,0.5909722222222222,-0.04249381767116304,0.36180555555555555,0.22916666666666666,0.5527831094049904,0.43333333333333335,0.3576923076923077,0.21664050235478807,0.4725274725274725,0.6319444444444444,-0.02681594548201373,0.20833333333333334,0.4236111111111111,0.4666666666666667,0.47540983606557374,0.19444444444444445,0.38571428571428573,0.5225225225225225,0.7708333333333334,-0.05593974167007403,0.1597222222222222,0.6111111111111112,0.6086956521739131,0.5,0.18181818181818182,0.6567164179104478
2,0.5,0.6236111111111111,0.10022295318420787,0.3888888888888889,0.23472222222222222,0.5482142857142858,0.42011834319526625,0.3769230769230769,0.21821036106750394,0.5789473684210527,0.5277777777777778,0.053515310016336234,0.5277777777777778,0.0,0.5789473684210527,0,0.5833333333333334,0.0,0.5625,0.5555555555555556,0.13597257522235648,0.5555555555555556,0.0,0.5625,0,0.5844155844155844,0.0
3,0.5156069364161849,0.6006944444444444,0.41737755600223836,0.41805555555555557,0.18263888888888888,0.5465116279069767,0.4448669201520912,0.4076923076923077,0.18210361067503925,0.5138888888888888,1.0,0.09508214770076491,0.09722222222222222,0.9027777777777778,0.5714285714285714,0.5076923076923077,0.1111111111111111,0.9142857142857143,0.4583333333333333,1.0,-0.1422340148039051,0.020833333333333332,0.9791666666666666,0.3333333333333333,0.46099290780141844,0.012987012987012988,0.9701492537313433
4,0.5240585774058577,0.6638888888888889,0.37366432370692,0.35208333333333336,0.31180555555555556,0.5798816568047337,0.4610244988864143,0.36538461538461536,0.31711145996860285,0.5533980582524272,0.7152777777777778,0.09066872980563971,0.7152777777777778,0.0,0.5533980582524272,0,0.7777777777777778,0.0,0.5299145299145299,0.8125,0.1629571845860144,0.8125,0.0,0.5299145299145299,0,0.8051948051948052,0.0
5,0.5352697095435685,0.6694444444444444,0.7052191132502491,0.47152777777777777,0.19791666666666666,0.5758468335787923,0.43859649122807015,0.4858974358974359,0.18681318681318682,0.6136363636363636,0.3055555555555556,0.10357302411389284,0.3055555555555556,0.0,0.6136363636363636,0,0.375,0.0,0.5416666666666666,0.16666666666666666,0.05521549902594923,0.16666666666666666,0.0,0.5416666666666666,0,0.16883116883116883,0.0
6,0.5422222222222223,0.625,0.36177456909465416,0.3902777777777778,0.23472222222222222,0.5836298932384342,0.47337278106508873,0.40897435897435896,0.24175824175824176,0.5037593984962406,0.9236111111111112,-0.05975358799261977,0.9236111111111112,0.0,0.5037593984962406,0,0.9027777777777778,0.0,0.5428571428571428,0.9722222222222222,0.1405299404829141,0.9722222222222222,0.0,0.5428571428571428,0,0.987012987012987,0.0
7,0.5366300366300366,0.7583333333333333,0.6443996039783568,0.48333333333333334,0.275,0.5747126436781609,0.4696969696969697,0.5,0.282574568288854,0.5486111111111112,1.0,0.09871898652580775,0.11805555555555555,0.8819444444444444,0.7058823529411765,0.5275590551181102,0.16666666666666666,0.9285714285714286,0.4652777777777778,1.0,-0.13179274693566398,0.013888888888888888,0.9861111111111112,0.5,0.4647887323943662,0.012987012987012988,0.9850746268656716
8,0.5092250922509225,0.7527777777777778,0.2725144611085756,0.36666666666666664,0.3861111111111111,0.571969696969697,0.44964028776978415,0.37564102564102564,0.37990580847723704,0.5347222222222222,1.0,0.07714316259527429,0.3263888888888889,0.6736111111111112,0.5531914893617021,0.5257731958762887,0.3611111111111111,0.7,0.5069444444444444,1.0,-0.0186889979420575,0.1388888888888889,0.8611111111111112,0.65,0.4838709677419355,0.16883116883116883,0.8955223880597015
9,0.5367965367965368,0.8020833333333334,1.0980049121293594,0.4076388888888889,0.39444444444444443,0.5809199318568995,0.49119718309859156,0.42435897435897435,0.423861852433281,0.49206349206349204,0.875,0.008263988798764424,0.3680555555555556,0.5069444444444444,0.5094339622641509,0.4794520547945205,0.375,0.4714285714285714,0.4909090909090909,0.7638888888888888,0.03927643265537757,0.18055555555555555,0.5833333333333334,0.5,0.4880952380952381,0.16883116883116883,0.6119402985074627
10,0.5619136960600375,0.7402777777777778,0.9792127834588326,0.3951388888888889,0.3451388888888889,0.6098418277680141,0.5070422535211268,0.43205128205128207,0.3814756671899529,0.46774193548387094,0.4305555555555556,-0.08650078683019607,0.3472222222222222,0.08333333333333333,0.48,0.4166666666666667,0.3333333333333333,0.07142857142857142,0.6,0.2777777777777778,0.08833101158674306,0.2152777777777778,0.0625,0.6129032258064516,0.5555555555555556,0.24675324675324675,0.07462686567164178
11,0.5508559919436052,0.6895833333333333,1.3965044655739036,0.39652777777777776,0.29305555555555557,0.5884413309982487,0.5,0.41923076923076924,0.32339089481946626,0.5069444444444444,1.0,0.003265164403398898,0.6597222222222222,0.3402777777777778,0.5052631578947369,0.5102040816326531,0.6666666666666666,0.32857142857142857,0.5625,1.0,0.13415900854623528,0.625,0.375,0.5777777777777777,0.5370370370370371,0.6753246753246753,0.43283582089552236
12,0.5513851653261841,0.7770833333333333,1.4918453270785268,0.4270833333333333,0.35,0.5934959349593496,0.5,0.45,0.3877551020408163,0.5042735042735043,0.8125,-0.044693405981970004,0.7638888888888888,0.04861111111111111,0.5,0.5714285714285714,0.7361111111111112,0.05714285714285714,0.5462184873949579,0.8263888888888888,0.09980293886689444,0.8055555555555556,0.020833333333333332,0.5517241379310345,0.3333333333333333,0.8311688311688312,0.014925373134328358
13,0.5738798856053384,0.7284722222222222,1.8452805958879757,0.4395833333333333,0.28888888888888886,0.6113744075829384,0.5168269230769231,0.48846153846153845,0.3249607535321821,0.5157894736842106,0.6597222222222222,-0.051595820477429034,0.5347222222222222,0.125,0.4935064935064935,0.6111111111111112,0.5277777777777778,0.15714285714285714,0.5423728813559322,0.4097222222222222,0.05320059414501453,0.3263888888888889,0.08333333333333333,0.6170212765957447,0.25,0.37662337662337664,0.04477611940298507
14,0.5949098621420997,0.6548611111111111,1.8161072750541403,0.38680555555555557,0.26805555555555555,0.6265709156193896,0.5492227979274611,0.4358974358974359,0.3218210361067504,0.5079365079365079,0.875,-0.06025055532343838,0.7361111111111112,0.1388888888888889,0.5188679245283019,0.45,0.7361111111111112,0.12857142857142856,0.4956521739130435,0.7986111111111112,0.04393076101543209,0.6944444444444444,0.10416666666666667,0.53,0.26666666666666666,0.6883116883116883,0.05970149253731343
15,0.6057416267942584,0.7256944444444444,2.3625808489769726,0.42569444444444443,0.3,0.6215334420880914,0.5833333333333334,0.47692307692307695,0.38304552590266877,0.5,0.9444444444444444,-0.12086673203216819,0.4444444444444444,0.5,0.5,0.5,0.4444444444444444,0.5,0.56,0.8680555555555556,0.10569306732370351,0.24305555555555555,0.625,0.7142857142857143,0.5,0.3246753246753247,0.6716417910447762
16,0.5648574057037719,0.7548611111111111,1.7737969037012224,0.4083333333333333,0.34652777777777777,0.6122448979591837,0.5090180360721442,0.4512820512820513,0.3877551020408163,0.5158730158730159,0.875,-0.08547975606010676,0.6805555555555556,0.19444444444444445,0.5204081632653061,0.5,0.6805555555555556,0.2,0.5607476635514018,0.7430555555555556,0.1369252293640632,0.5902777777777778,0.1527777777777778,0.5764705882352941,0.5,0.6363636363636364,0.16417910447761194
17,0.5836466165413534,0.7388888888888889,2.252577938965321,0.41458333333333336,0.32430555555555557,0.6180904522613065,0.5396145610278372,0.4641025641025641,0.38304552590266877,0.5223880597014925,0.9305555555555556,-0.0763433282134811,0.7222222222222222,0.20833333333333334,0.5192307692307693,0.5333333333333333,0.7222222222222222,0.22857142857142856,0.4883720930232558,0.8958333333333334,0.016315807534819766,0.75,0.14583333333333334,0.5092592592592593,0.38095238095238093,0.7142857142857143,0.11940298507462686
